departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
HUILA,ISNOS,4.227616091052571,1786.1677984697112,6430204074.490961
CHOCO,ISTMINA,5.142261182327744,1105.586154200465,3980110155.121674
ANTIOQUIA,ITAGUI,4.193347298031935,8.38669459606387,30192100.545829933
ANTIOQUIA,ITUANGO,4.377762357544912,1440.283815632276,5185021736.276194
CAUCA,JAMBALO,2.8114930069750015,140.57465034875008,506068741.2555003
VALLE DEL CAUCA,JAMUNDI,11.634079343557232,610.7891655367547,2198840995.932317
ANTIOQUIA,JARDIN,6.5799319899335345,7882.758523940374,28377930686.18535
ANTIOQUIA,JERICO,7.958153090565663,11300.57738860324,40682078598.971664
CUNDINAMARCA,JERUSALEN,5.593760694779018,618.1105567730815,2225198004.3830934
SANTANDER,JESUS MARIA,6.951000757365183,500.4720545302931,1801699396.309055
CUNDINAMARCA,JUNIN,6.970962852137154,125.47733133846877,451718392.8184876
CHOCO,JURADO,6.198089949419279,3204.4125038497673,11535885013.859161
CORDOBA,LA APARTADA,3.573213529638251,7.146427059276502,25727137.41339541
HUILA,LA ARGENTINA,7.051610271336143,2506.847451459999,9024650825.255995
ANTIOQUIA,LA CEJA,4.686501701240206,56.23802041488247,202456873.49357688
RISARALDA,LA CELIA,8.024356686716832,9188.690841959444,33079287031.053997
NARINO,LA CRUZ,5.071883200168417,126.79708000421041,456469488.0151575
VALLE DEL CAUCA,LA CUMBRE,9.643737436234652,3598.078437459149,12953082374.852936
CALDAS,LA DORADA,7.76514052936135,372.7267454093448,1341816283.4736414
NORTE DE SANTANDER,LA ESPERANZA,11.64747336011258,6394.462874701806,23020066348.926502
ANTIOQUIA,LA ESTRELLA,9.912959756112283,480.7785481714457,1730802773.4172046
NARINO,LA FLORIDA,10.803133244478804,12007.682601238192,43227657364.45749
CESAR,LA GLORIA,8.140504045192115,1945.5804668009155,7004089680.483295
CESAR,LA JAGUA DE IBIRICO,7.0224685603097345,2106.7405680929205,7584266045.134514
LA GUAJIRA,LA JAGUA DEL PILAR,4.280856253787318,410.96220036358255,1479463921.3088973
NARINO,LA LLANADA,4.4004395502784766,567.6567019859235,2043564127.1493247
META,LA MACARENA,12.167077960998514,6813.563658159168,24528829169.373005
CALDAS,LA MERCED,7.891339255705011,1704.5292792322825,6136305405.2362175
CUNDINAMARCA,LA MESA,6.219089596186697,572.1562428491761,2059762474.257034
CAQUETA,LA MONTANITA,4.399722154412573,140.79110894120234,506847992.1883284
CUNDINAMARCA,LA PALMA,7.958846194754987,1886.2465481569318,6790487573.364954
CESAR,LA PAZ,9.620307386045344,3078.4983635345097,11082594108.724236
SANTANDER,LA PAZ,5.573923046847266,69.67403808559082,250826537.10812697
